strategy,family,score,dev_sharpe,holdout_sharpe,dev_cagr,holdout_cagr,max_drawdown,calmar,psr,annual_turnover,top_name_share,stability,degradation,fails_pre_ai_rally,stressed_sharpe,cost_fragile,verdict,tier,tier_reason
BuyAndHold(ticker=MU),benchmark,3.908,0.38,1.75,0.0786,1.8439,-0.983,0.08,0.984,0.04,1.0,0.62,0.0,False,0.38086001256655455,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"XSMomentumTopN(basket=ai_broad,lookback_days=252,rebalance=ME,skip_days=21,top_n=10,weighting=equal)",xsmom,3.878,0.83,1.42,0.2851,0.9208,-0.604,0.47,1.0,8.85,0.08,0.75,0.0,False,0.7995286027483937,False,inconclusive,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"RelativeStrengthVsBench(bench=QQQ,lookback_days=126,rebalance=ME,top_n=5)",xsmom,3.869,0.79,1.51,0.2829,1.1368,-0.791,0.36,1.0,12.22,0.11,0.62,0.0,False,0.7565828922529052,False,inconclusive,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"XSMomentumTopN(basket=None,lookback_days=252,rebalance=ME,skip_days=21,top_n=8,weighting=equal)",xsmom,3.866,0.78,1.48,0.2735,1.0375,-0.631,0.43,1.0,9.9,0.07,0.75,0.0,False,0.7447137509098388,False,inconclusive,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"EqualWeightUniverse(basket=ai_broad,rebalance=QE)",benchmark,3.854,0.79,1.17,0.2417,0.4286,-0.665,0.36,1.0,1.62,0.04,0.62,0.0,False,0.7810966246691602,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=RHT),benchmark,3.846,0.36,1.69,0.08,0.0434,-0.979,0.08,0.982,0.07,1.0,0.88,0.0,False,0.3554793676130836,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"XSMomentumTopN(basket=None,lookback_days=126,rebalance=ME,skip_days=21,top_n=5,weighting=inverse_vol)",xsmom,3.843,0.78,1.64,0.279,1.1974,-0.876,0.32,1.0,14.92,0.08,0.62,0.0,False,0.7371536596727234,False,inconclusive,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=8)",factor,3.84,0.57,1.25,0.1271,0.6062,-0.442,0.29,1.0,2.12,0.18,0.88,0.0,False,0.5633709028736359,False,inconclusive,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
"EqualWeightUniverse(basket=ai_broad,rebalance=ME)",benchmark,3.834,0.77,1.18,0.2358,0.4296,-0.663,0.36,1.0,1.66,0.04,0.62,0.0,False,0.76169215278476,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"XSMomentumTopN(basket=None,lookback_days=252,rebalance=ME,skip_days=21,top_n=5,weighting=equal)",xsmom,3.811,0.79,1.57,0.2949,1.2206,-0.758,0.39,1.0,10.36,0.08,0.62,0.0,False,0.7611166023516617,False,inconclusive,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"XSMomentumTopN(basket=None,lookback_days=126,rebalance=ME,skip_days=21,top_n=3,weighting=equal)",xsmom,3.797,0.76,1.6,0.3003,1.2652,-0.839,0.36,1.0,14.68,0.1,0.62,0.0,False,0.7210101256072611,False,inconclusive,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"XSMomentumTopN(basket=ai_broad,lookback_days=252,rebalance=ME,skip_days=21,top_n=20,weighting=equal)",xsmom,3.776,0.76,1.36,0.2395,0.7393,-0.594,0.4,1.0,7.15,0.07,0.75,0.0,False,0.7360237297501349,False,inconclusive,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"EqualRiskContribution(basket=target_holdings,cov_window=252,max_weight=0.25,rebalance=ME)",allocation,3.772,0.71,1.31,0.2042,0.4038,-0.657,0.31,1.0,3.91,0.17,0.62,0.0,False,0.6943310503743596,False,inconclusive,B,"unrecognized family 'allocation' — tier metadata missing, cannot verify Tier A data dependencies"
"ResidualMomentum(basket=None,bench=QQQ,beta_window=252,lookback_days=252,rebalance=ME,skip_days=21,top_n=12)",factor,3.772,0.73,1.45,0.2088,0.7824,-0.578,0.36,1.0,7.51,0.05,0.75,0.0,False,0.6992341685961563,False,inconclusive,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
"ResidualMomentum(basket=None,bench=QQQ,beta_window=252,lookback_days=252,rebalance=ME,skip_days=21,top_n=8)",factor,3.741,0.69,1.5,0.1983,0.9052,-0.605,0.33,1.0,8.55,0.07,0.75,0.0,False,0.6553504688438552,False,inconclusive,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
"EqualWeightUniverse(basket=None,rebalance=ME)",benchmark,3.739,0.72,1.18,0.22,0.4273,-0.745,0.3,1.0,1.5,0.03,0.62,0.0,False,0.7167322424384682,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"XSMomentumTopN(basket=None,lookback_days=126,rebalance=ME,skip_days=21,top_n=5,weighting=equal)",xsmom,3.737,0.8,1.57,0.3013,1.1334,-0.876,0.34,1.0,13.74,0.09,0.62,0.0,False,0.7697883207822023,False,inconclusive,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"EqualWeightUniverse(basket=megacap_ai,rebalance=ME)",benchmark,3.732,0.93,0.99,0.3234,0.3304,-0.638,0.51,1.0,3.15,0.22,0.75,0.0,False,0.9228707274601734,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"MultiHorizonMomentum(basket=None,horizons=63,126,252,min_agree=2,rebalance=ME,top_n=8,weighting=equal)",factor,3.699,0.8,1.53,0.2756,1.0605,-0.785,0.35,1.0,12.8,0.07,0.62,0.0,False,0.7502425704644838,False,inconclusive,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
"TrendPlusVolTarget(basket=target_holdings,fallback=IEF,hysteresis=0.02,min_exposure=0.2,rebalance=W-FRI,target_vol=0.2,trend_window=200,vol_window=63)",riskmanaged,3.693,0.91,1.2,0.1771,0.3054,-0.308,0.57,1.0,4.89,0.12,0.75,0.0,False,0.8818658537559052,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"AbsoluteMomentum(basket=None,fallback=BIL,lookback_days=126,rebalance=ME)",tsmom,3.671,0.75,1.37,0.2231,0.5806,-0.776,0.29,1.0,7.53,0.06,0.62,0.0,False,0.7182779599832291,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=12)",factor,3.659,0.55,1.17,0.1202,0.4914,-0.442,0.27,1.0,2.0,0.2,0.88,0.0,False,0.5396475785372137,False,inconclusive,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.15,vol_window=63)",riskmanaged,3.659,1.14,0.89,0.2078,0.1955,-0.299,0.69,1.0,3.54,0.2,0.88,0.25,False,1.1157510227192868,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=CSCO),benchmark,3.651,0.33,1.64,0.0781,0.5903,-0.893,0.09,0.978,0.04,1.0,0.62,0.0,False,0.3322707750112788,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"MultiHorizonMomentum(basket=None,horizons=63,126,252,min_agree=2,rebalance=ME,top_n=8,weighting=inverse_vol)",factor,3.642,0.76,1.52,0.2493,1.0173,-0.765,0.33,1.0,13.77,0.07,0.62,0.0,False,0.7081678588702668,False,inconclusive,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
"InverseVolBasket(basket=ai_broad,rebalance=ME)",riskmanaged,3.61,0.75,1.1,0.2174,0.3637,-0.655,0.33,1.0,2.26,0.04,0.62,0.0,False,0.7409633228264557,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=AVGO),benchmark,3.605,0.79,1.13,0.2159,0.6628,-0.483,0.45,1.0,0.04,1.0,0.88,0.0,False,0.7890436080000064,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"TrendFollowCash(basket=None,fallback=IEF,rebalance=W-FRI,sma_window=250)",tsmom,3.604,0.82,1.09,0.1563,0.2601,-0.357,0.44,1.0,6.39,0.08,0.75,0.0,False,0.7744169684621008,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"XSMomentumTopN(basket=None,lookback_days=63,rebalance=ME,skip_days=21,top_n=8,weighting=equal)",xsmom,3.582,0.75,1.5,0.2593,0.9297,-0.763,0.34,1.0,17.66,0.05,0.62,0.0,False,0.6924051920999164,False,inconclusive,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"DualMomentum(fallback=IEF,lookback_days=126)",tsmom,3.556,0.52,1.27,0.1217,0.5499,-0.372,0.33,0.999,7.63,0.49,0.62,0.0,False,0.4791311025994097,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"ThemeRotation(lookback_days=252,rebalance=ME,top_themes=3)",factor,3.548,0.63,1.34,0.1917,0.6785,-0.784,0.24,1.0,8.1,0.1,0.62,0.0,False,0.6063662913964809,False,inconclusive,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
"XSMomentumTopN(basket=None,lookback_days=63,rebalance=ME,skip_days=21,top_n=5,weighting=equal)",xsmom,3.53,0.72,1.5,0.254,1.063,-0.803,0.32,1.0,18.83,0.07,0.62,0.0,False,0.6685374403370348,False,inconclusive,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"MLRankStrategy(alpha=10.0,horizon=21,min_train_years=5,rebalance=ME,refit_months=12,top_n=6)",ml,3.529,0.68,1.48,0.1997,1.1156,-0.641,0.31,1.0,14.16,0.08,0.75,0.0,False,0.6318603718415187,False,inconclusive,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"XSMomentumTopN(basket=target_holdings,lookback_days=126,rebalance=ME,skip_days=21,top_n=3,weighting=equal)",xsmom,3.524,0.66,1.57,0.2185,1.0882,-0.904,0.24,1.0,10.4,0.22,0.62,0.0,False,0.6220727560803135,False,inconclusive,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"CapWeightUniverse(basket=ai_broad,max_weight=0.25,rebalance=QE)",benchmark,3.513,0.71,0.91,0.1405,0.267,-0.396,0.35,1.0,1.36,0.31,0.88,0.0,False,0.7031601471115239,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"CapWeightUniverse(basket=None,max_weight=0.25,rebalance=QE)",benchmark,3.513,0.71,0.91,0.1405,0.267,-0.396,0.35,1.0,1.36,0.31,0.88,0.0,False,0.7031601471115239,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"RegimeSwitchedTech(cut=0.2,fallback=IEF,flags=('qqq_below_200', 'vix_high', 'rates_rising', 'breadth_weak'),rebalance=W-FRI)",regime,3.49,0.78,1.15,0.1741,0.3609,-0.55,0.32,1.0,4.92,0.03,0.62,0.0,False,0.7490813553569003,False,inconclusive,B,"macro inputs are revised series, not real-time vintages"
"XSMomentumTopN(basket=None,lookback_days=63,rebalance=ME,skip_days=21,top_n=3,weighting=equal)",xsmom,3.485,0.63,1.54,0.2248,1.2273,-0.719,0.31,1.0,20.1,0.09,0.5,0.0,False,0.5852353685124934,False,inconclusive,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"TrendFollowCash(basket=None,fallback=IEF,rebalance=W-FRI,sma_window=100)",tsmom,3.466,0.86,1.19,0.1655,0.2689,-0.386,0.43,1.0,10.08,0.09,0.62,0.0,False,0.7927057219299286,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.2,vol_window=63)",riskmanaged,3.451,1.11,0.87,0.2533,0.2292,-0.34,0.75,1.0,3.71,0.2,0.75,0.24,False,1.0877837513288668,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=PWR),benchmark,3.416,0.49,1.28,0.1415,0.6309,-0.971,0.15,0.996,0.04,1.0,0.88,0.0,False,0.49120701982061293,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.25,vol_window=63)",riskmanaged,3.407,1.07,0.87,0.2789,0.2592,-0.41,0.68,1.0,3.49,0.21,0.75,0.2,False,1.0546840692718291,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"DualMomentum(fallback=IEF,lookback_days=63)",tsmom,3.404,0.47,1.33,0.1057,0.5658,-0.514,0.21,0.998,9.04,0.63,0.75,0.0,False,0.4181794811032075,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"ResidualMomentum(basket=None,bench=QQQ,beta_window=252,lookback_days=126,rebalance=ME,skip_days=21,top_n=8)",factor,3.391,0.54,1.6,0.1529,0.9632,-0.838,0.18,0.999,11.93,0.06,0.62,0.0,False,0.5019876591314673,False,inconclusive,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
"ThemeRotation(lookback_days=252,rebalance=ME,top_themes=4)",factor,3.389,0.62,1.25,0.182,0.5797,-0.8,0.23,1.0,7.37,0.1,0.62,0.0,False,0.5932554695182808,False,inconclusive,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
"LowVolatilityTech(basket=None,rebalance=ME,top_n=10,trend_filter=True,vol_window=126)",factor,3.383,0.59,1.43,0.1496,0.3937,-0.764,0.2,1.0,8.94,0.07,0.62,0.0,False,0.5539805547794078,False,inconclusive,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
"TrendFollowCash(basket=ai_broad,fallback=IEF,rebalance=W-FRI,sma_window=200)",tsmom,3.379,0.93,1.01,0.1811,0.2402,-0.39,0.46,1.0,6.97,0.08,0.62,0.0,False,0.8827240767188289,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"TrendFollowCash(basket=None,fallback=IEF,rebalance=W-FRI,sma_window=200)",tsmom,3.377,0.9,1.01,0.1753,0.2375,-0.361,0.49,1.0,6.86,0.08,0.62,0.0,False,0.8571995135656233,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=DELL),benchmark,3.372,0.38,1.32,0.0798,0.9628,-0.587,0.14,0.995,0.04,1.0,0.88,0.0,False,0.38276977483445823,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"MultiHorizonMomentum(basket=None,horizons=63,126,252,min_agree=3,rebalance=ME,top_n=5,weighting=equal)",factor,3.365,0.8,1.36,0.283,0.9352,-0.81,0.35,1.0,14.25,0.09,0.62,0.0,False,0.7502060999422865,False,inconclusive,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
"RelativeStrengthVsBench(bench=QQQ,lookback_days=126,rebalance=ME,top_n=8)",xsmom,3.363,0.81,1.25,0.2742,0.7646,-0.79,0.35,1.0,11.07,0.08,0.62,0.0,False,0.7767797385232417,False,inconclusive,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"RegimeSwitchedTech(cut=0.25,fallback=IEF,flags=('qqq_below_200', 'vix_high', 'rates_rising', 'breadth_weak'),rebalance=W-FRI)",regime,3.362,0.77,1.12,0.1601,0.34,-0.509,0.31,1.0,5.76,0.03,0.62,0.0,False,0.733685979506022,False,inconclusive,B,"macro inputs are revised series, not real-time vintages"
"TrendFollowCash(basket=None,fallback=IEF,rebalance=W-FRI,sma_window=150)",tsmom,3.352,0.89,1.04,0.1738,0.2414,-0.363,0.48,1.0,8.08,0.09,0.62,0.0,False,0.841418741522289,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=GOOGL),benchmark,3.352,0.68,1.2,0.1817,0.4521,-0.653,0.28,1.0,0.04,1.0,0.75,0.0,False,0.6835288411122685,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"AbsoluteMomentum(basket=None,fallback=BIL,lookback_days=252,rebalance=ME)",tsmom,3.349,0.68,1.15,0.2033,0.4464,-0.662,0.31,1.0,5.77,0.05,0.62,0.0,False,0.664564682630276,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"InverseVolBasket(basket=megacap_ai,rebalance=ME)",riskmanaged,3.338,0.86,0.94,0.2717,0.2838,-0.658,0.41,1.0,3.56,0.22,0.62,0.0,False,0.8463458288808482,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.25,vol_window=21)",riskmanaged,3.334,1.13,0.89,0.2937,0.2536,-0.466,0.63,1.0,4.58,0.21,0.75,0.24,False,1.107023188866397,False,inconclusive,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"ThemeRotation(lookback_days=252,rebalance=ME,top_themes=2)",factor,3.324,0.59,1.3,0.1793,0.6727,-0.826,0.22,1.0,9.08,0.11,0.62,0.0,False,0.5580936879691335,False,inconclusive,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
BuyAndHold(ticker=TSM),benchmark,3.292,0.49,1.28,0.1495,0.6383,-0.891,0.17,0.997,0.04,1.0,0.75,0.0,False,0.4896458329376467,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"XSMomentumTopN(basket=target_holdings,lookback_days=126,rebalance=ME,skip_days=21,top_n=5,weighting=equal)",xsmom,3.273,0.71,1.4,0.229,0.8204,-0.883,0.26,1.0,9.74,0.17,0.62,0.0,False,0.6759396537873514,False,inconclusive,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"EqualRiskContribution(basket=megacap_ai,cov_window=252,max_weight=0.25,rebalance=ME)",allocation,3.273,0.88,0.86,0.2825,0.2372,-0.634,0.45,1.0,3.34,0.25,0.75,0.02,False,0.865417391184087,False,inconclusive,B,"unrecognized family 'allocation' — tier metadata missing, cannot verify Tier A data dependencies"
"MultiHorizonMomentum(basket=None,horizons=63,126,252,min_agree=3,rebalance=ME,top_n=8,weighting=equal)",factor,3.255,0.82,1.29,0.2796,0.7955,-0.789,0.35,1.0,14.02,0.08,0.62,0.0,False,0.773091168306427,False,inconclusive,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
BuyAndHold(ticker=CRWD),benchmark,3.249,0.3,1.41,0.0674,0.8084,-0.677,0.1,0.976,0.04,1.0,0.75,0.0,False,0.3017207152730176,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"EqualRiskContribution(basket=megacap_ai,cov_window=126,max_weight=0.25,rebalance=ME)",allocation,3.249,0.83,0.89,0.2632,0.2483,-0.634,0.42,1.0,4.03,0.25,0.75,0.0,False,0.8166193773729692,False,inconclusive,B,"unrecognized family 'allocation' — tier metadata missing, cannot verify Tier A data dependencies"
"ThemeRotation(lookback_days=126,rebalance=ME,top_themes=2)",factor,3.241,0.59,1.29,0.1789,0.6375,-0.831,0.22,1.0,12.1,0.1,0.62,0.0,False,0.5523907821989786,False,rejected,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.2,vol_window=63)",riskmanaged,3.23,1.15,0.8,0.2586,0.2087,-0.348,0.74,1.0,3.97,0.2,0.75,0.34,False,1.1241630909479523,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.25,vol_window=63)",riskmanaged,3.23,1.1,0.82,0.2848,0.2379,-0.425,0.67,1.0,3.57,0.21,0.75,0.29,False,1.0879043648100382,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"ResidualMomentum(basket=None,bench=QQQ,beta_window=252,lookback_days=126,rebalance=ME,skip_days=21,top_n=12)",factor,3.23,0.54,1.5,0.1503,0.8179,-0.791,0.19,0.999,10.47,0.05,0.62,0.0,False,0.5062016993245283,False,rejected,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
BuyAndHold(ticker=NET),benchmark,3.227,0.31,1.37,0.0721,0.9165,-0.826,0.09,0.976,0.04,1.0,0.88,0.0,False,0.3119007936392716,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
BuyAndHold(ticker=PLTR),benchmark,3.197,0.26,1.46,0.0562,1.1616,-0.846,0.07,0.961,0.04,1.0,0.75,0.0,False,0.25733294954016606,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"ShortTermReversal(lookback_days=5,rebalance=W-FRI,top_n=5,trend_window=200)",meanrev,3.185,0.63,1.27,0.1941,0.6564,-0.79,0.25,1.0,83.66,0.07,0.62,0.0,False,0.36033107404943754,False,rejected,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"XSRiskAdjMomentum(lookback_days=126,rebalance=ME,top_n=5)",xsmom,3.183,0.76,1.17,0.2619,0.6627,-0.882,0.3,1.0,15.08,0.08,0.62,0.0,False,0.7041181999222078,False,rejected,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.2,vol_window=21)",riskmanaged,3.18,1.16,0.83,0.2659,0.2134,-0.394,0.67,1.0,5.22,0.2,0.75,0.33,False,1.1316176168164993,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"XSMomentumTopN(basket=target_holdings,lookback_days=126,rebalance=ME,skip_days=21,top_n=8,weighting=equal)",xsmom,3.18,0.65,1.36,0.1986,0.7073,-0.883,0.22,1.0,8.82,0.18,0.62,0.0,False,0.6261211539527486,False,rejected,B,cross-sectional selection over a universe missing delisted names (current-constituent bias)
"ThemeRotation(lookback_days=126,rebalance=ME,top_themes=4)",factor,3.172,0.64,1.18,0.1875,0.5088,-0.778,0.24,1.0,9.11,0.09,0.62,0.0,False,0.610784927560915,False,rejected,B,"unrecognized family 'factor' — tier metadata missing, cannot verify Tier A data dependencies"
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.2,vol_window=21)",riskmanaged,3.171,1.18,0.84,0.2675,0.2116,-0.36,0.74,1.0,6.68,0.2,0.75,0.34,False,1.142294785071432,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"CapWeightUniverse(basket=target_holdings,max_weight=0.25,rebalance=QE)",benchmark,3.166,0.37,0.98,0.0643,0.3016,-0.496,0.13,0.996,0.71,0.21,0.88,0.0,False,0.362985942947194,False,benchmark,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.15,vol_window=63)",riskmanaged,3.154,1.18,0.78,0.2118,0.169,-0.306,0.69,1.0,3.91,0.2,0.75,0.4,False,1.1537884004734504,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.25,vol_window=21)",riskmanaged,3.14,1.13,0.84,0.2921,0.2331,-0.449,0.65,1.0,5.5,0.2,0.75,0.29,False,1.1046740821447347,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"InverseVolBasket(basket=semiconductors,rebalance=ME)",riskmanaged,3.129,0.61,0.98,0.1917,0.4299,-0.76,0.25,1.0,3.09,0.08,0.62,0.0,False,0.6046504153156081,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
"DrawdownDeRisk(basket=megacap_ai,dd_full=-0.4,dd_start=-0.15,fallback=IEF,rebalance=W-FRI)",riskmanaged,3.123,0.99,0.9,0.2763,0.2724,-0.559,0.49,1.0,4.58,0.19,0.62,0.09,False,0.9710100200955283,False,rejected,A,"complete adjusted histories; no revised-macro, earnings-event, or missing-span dependence"
